Depth	
-405	1.00E-05
-405.5	1.00E-05
-406	1.00E-05
-406.5	1.00E-05
-407	1.00E-05
-407.5	1.00E-05
-408	1.00E-05
-408.5	1.00E-05
-409	1.00E-05
-409.5	1.00E-05
-410	1.00E-05
-410.5	1.00E-05
-411	1.00E-05
-411.5	1.00E-05
-412	1.00E-05
-412.5	1.00E-05
-413	1.00E-05
-413.5	1.00E-05
-414	1.00E-05
-414.5	1.00E-05
-415	1.00E-05
-415.5	1.00E-05
-416	1.00E-05
-416.5	1.00E-05
-417	1.00E-05
-417.5	1.00E-05
-418	1.00E-05
-418.5	1.00E-05
-419	1.00E-05
-419.5	1.00E-05
-420	1.00E-05
-420.5	1.00E-05
-421	1.00E-05
-421.5	1.00E-05
-422	1.00E-05
-422.5	1.00E-05
-423	1.00E-05
-423.5	1.00E-05
-424	1.00E-05
-424.5	1.00E-05
-425	1.00E-05
-425.5	1.00E-05
-426	1.00E-05
-426.5	1.00E-05
-427	1.00E-05
-427.5	1.00E-05
-428	1.00E-05
-428.5	1.00E-05
-429	1.00E-05
-429.5	1.00E-05
-430	1.00E-05
-430.5	1.00E-05
-431	1.00E-05
-431.5	1.00E-05
-432	1.00E-05
-432.5	1.00E-05
-433	1.00E-05
-433.5	1.00E-05
-434	1.00E-05
-434.5	1.00E-05
-435	1.00E-05
-435.5	1.00E-05
-436	1.00E-05
-436.5	1.00E-05
-437	1.00E-05
-437.5	1.00E-05
-438	1.00E-05
-438.5	1.00E-05
-439	1.00E-05
-439.5	1.00E-05
-440	1.00E-05
-440.5	1.00E-05
-441	1.00E-05
-441.5	1.00E-05
-442	1.00E-05
-442.5	1.00E-05
-443	1.00E-05
-443.5	1.00E-05
-444	1.00E-05
-444.5	1.00E-05
-445	1.00E-05
-445.5	1.00E-05
-446	1.00E-05
-446.5	1.00E-05
-447	1.00E-05
-447.5	1.00E-05
-448	1.00E-05
-448.5	1.00E-05
-449	1.00E-05
-449.5	1.00E-05
-450	1.00E-05
-450.5	1.00E-05
-451	1.00E-05
-451.5	1.00E-05
-452	1.00E-05
-452.5	1.00E-05
-453	1.00E-05
-453.5	1.00E-05
-454	1.00E-05
-454.5	1.00E-05
-455	1.00E-05
-455.5	1.00E-05
-456	1.00E-05
-456.5	1.00E-05
-457	1.00E-05
-457.5	1.00E-05
-458	1.00E-05
-458.5	1.00E-05
-459	1.00E-05
-459.5	1.00E-05
-460	1.00E-05
-460.5	1.00E-05
-461	1.00E-05
-461.5	1.00E-05
-462	1.00E-05
-462.5	1.00E-05
-463	1.00E-05
-463.5	1.00E-05
-464	1.00E-05
-464.5	1.00E-05
-465	1.00E-05
-465.5	1.00E-05
-466	1.00E-05
-466.5	1.00E-05
-467	1.00E-05
-467.5	1.00E-05
-468	1.00E-05
-468.5	1.00E-05
-469	1.00E-05
-469.5	1.00E-05
-470	1.00E-05
-470.5	1.00E-05
-471	1.00E-05
-471.5	1.00E-05
-472	1.00E-05
-472.5	1.00E-05
-473	1.00E-05
-473.5	1.00E-05
-474	1.00E-05
-474.5	1.00E-05
-475	1.00E-05
-475.5	1.00E-05
-476	1.00E-05
-476.5	1.00E-05
-477	1.00E-05
-477.5	1.00E-05
-478	1.00E-05
-478.5	1.00E-05
-479	1.00E-05
-479.5	1.00E-05
-480	1.00E-05
-480.5	1.00E-05
